"","state","fips","date","cases","deaths","daily_cases","daily_cases_avg","daily_deaths","daily_deaths_avg","daily_cases_avg_per","daily_deaths_avg_per","weekly_cases_per100k","weekly_deaths_per100k"
"59","USA","0",2020-03-19,12393,212,4043,1532.14285714286,50,24.1428571428571,4.66775860243636e-06,7.35525597959669e-08,3.26743102170545,0.0514867918571768
"60","USA","0",2020-03-20,18003,277,5610,2254.14285714286,65,32.4285714285714,6.86737184035835e-06,9.87954501401449e-08,4.80716028825085,0.0691568150981014
"61","USA","0",2020-03-21,24528,360,6525,3090,83,42.8571428571429,9.41385720938913e-06,1.30566674194024e-07,6.58970004657239,0.0913966719358168
"62","USA","0",2020-03-22,33066,458,8538,4209.42857142857,98,55.7142857142857,1.2824258739337e-05,1.69736676452231e-07,8.97698111753593,0.118815673516562
"63","USA","0",2020-03-23,43505,579,10439,5571.14285714286,121,69.7142857142857,1.69727972007285e-05,2.12388456688946e-07,11.8809580405099,0.148671919682262
"64","USA","0",2020-03-24,53929,774,10424,6860.42857142857,195,93.8571428571429,2.09006779827321e-05,2.85941016484913e-07,14.6304745879124,0.200158711539439
"65","USA","0",2020-03-25,68535,1044,14606,8597.85714285714,270,126,2.61938509545578e-05,3.83866022130431e-07,18.3356956681905,0.268706215491301
"66","USA","0",2020-03-26,85563,1350,17028,10452.8571428571,306,162.571428571429,3.18452118359225e-05,4.95282917442665e-07,22.2916482851457,0.346698042209865
"67","USA","0",2020-03-27,102835,1764,17272,12118.8571428571,414,212.428571428571,3.69207736840915e-05,6.47175481755046e-07,25.844541578864,0.453022837228532
"68","USA","0",2020-03-28,123730,2294,20895,14171.7142857143,530,276.285714285714,4.31749173779852e-05,8.41719826304142e-07,30.2224421645897,0.589203878412899
"69","USA","0",2020-03-29,142405,2710,18675,15619.8571428571,416,321.714285714286,4.75867652990013e-05,9.80120500949807e-07,33.3107357093009,0.686084350664865
"70","USA","0",2020-03-30,163872,3365,21467,17195.2857142857,655,398,5.23863962423736e-05,1.21252918101517e-06,36.6704773696615,0.848770426710619
"71","USA","0",2020-03-31,188424,4301,24552,19213.5714285714,936,503.857142857143,5.85352161524175e-05,1.53502886627441e-06,40.9746513066923,1.07452020639209
"72","USA","0",2020-04-01,215175,5329,26751,20948.5714285714,1028,612.142857142857,6.38209903460389e-05,1.86492732973798e-06,44.6746932422273,1.30544913081658
"73","USA","0",2020-04-02,244635,6558,29460,22724.5714285714,1229,744,6.92316733246393e-05,2.26663746400826e-06,48.4621713272475,1.58664622480578
"74","USA","0",2020-04-03,277278,7918,32643,24920.4285714286,1360,879.142857142857,7.59214744880938e-05,2.67835770996675e-06,53.1450321416656,1.87485039697672
"75","USA","0",2020-04-04,312518,9486,35240,26969.7142857143,1568,1027.42857142857,8.21647376258047e-05,3.13011840267807e-06,57.5153163380633,2.19108288187465
"76","USA","0",2020-04-05,337983,10852,25465,27939.7142857143,1366,1163.14285714286,8.51198966850628e-05,3.54357953762581e-06,59.5839276795439,2.48050567633807
"77","USA","0",2020-04-06,367598,12360,29615,29103.7142857143,1508,1285,8.86660875561725e-05,3.91482411458415e-06,62.0662612893207,2.74037688020891
"78","USA","0",2020-04-07,399387,14614,31789,30137.5714285714,2254,1473.28571428571,9.18157909599796e-05,4.48844703654323e-06,64.2710536719857,3.14191292558026
"79","USA","0",2020-04-08,431212,16716,31825,30862.4285714286,2102,1626.71428571429,9.40241086428479e-05,4.95587573015784e-06,65.8168760499935,3.46911301111049
"80","USA","0",2020-04-09,465908,18821,34696,31610.4285714286,2105,1751.85714285714,9.63029323297809e-05,5.33713041880439e-06,67.4120526308467,3.73599129316307
"81","USA","0",2020-04-10,499378,21081,33470,31728.5714285714,2260,1880.42857142857,9.66628611283091e-05,5.72883044138646e-06,67.6640027898164,4.01018130897052
"82","USA","0",2020-04-11,531101,23164,31723,31226.1428571429,2083,1954,9.51321844845079e-05,5.95296989875287e-06,66.5925291391555,4.16707892912701
"83","USA","0",2020-04-12,558244,24847,27143,31465.8571428571,1683,1999.28571428571,9.58624874154998e-05,6.09093535115122e-06,67.1037411908498,4.26365474580586
"84","USA","0",2020-04-13,584004,26611,25760,30915.1428571429,1764,2035.85714285714,9.41847056521065e-05,6.20235224646345e-06,65.9292939564746,4.34164657252442
"85","USA","0",2020-04-14,610686,29317,26682,30185.5714285714,2706,2100.42857142857,9.19620256350769e-05,6.39907270224912e-06,64.3734179445539,4.47935089157438
"86","USA","0",2020-04-15,640712,32069,30026,29928.5714285714,2752,2193.28571428571,9.11790608121601e-05,6.68196716300284e-06,63.8253425685121,4.67737701410199
"87","USA","0",2020-04-16,672320,34341,31608,29487.4285714286,2272,2217.14285714286,8.98350945124563e-05,6.75464927830418e-06,62.8845661587194,4.72825449481292
