"","state","weekly_cases_per100k","weekly_deaths_per100k"
"1","Rhode Island",36.8146458100685,5.75818819080559
"2","Massachusetts",22.3576253793433,3.64163787814093
"3","New Jersey",25.0951623417198,3.01727389303764
"4","District of Columbia",38.965694602472,2.8338686983616
"5","Illinois",34.8647601635156,2.80149159303939
"6","Arizona",211.919215982707,2.1569735435517
"7","Louisiana",66.7054724300539,2.15109553144321
"8","Maryland",43.5021370631591,2.08413280226542
"9","Indiana",38.6202528467954,1.82703503852147
"10","Connecticut",20.2227758943389,1.82313513610545
"11","Mississippi",56.2471838607543,1.81442528583078
"12","Georgia",61.1353621307167,1.79892992866536
"13","New Mexico",38.5820684471647,1.66918713924693
"14","Minnesota",40.7118762358962,1.59584880715621
"15","Pennsylvania",21.0123598762661,1.58569109846915
"16","Arkansas",100.967458456547,1.55742387510919
"17","New Hampshire",16.1063637787736,1.54444584180021
"18","Delaware",46.4178178696275,1.54041430983277
"19","Nebraska",55.469166794182,1.44747126769534
"20","New York",23.825972016126,1.40848248811619
"21","Missouri",29.7844634592862,1.38494496391648
"22","Alabama",100.913997738205,1.32566892744206
"23","USA",54.9668724689196,1.2993560193542
"24","Ohio",29.2066968372244,1.22336193547835
"25","California",61.803660097788,1.10345601157394
"26","Iowa",55.7832314338509,1.07763060724485
"27","Florida",94.2603962419318,1.01966049775169
"28","North Carolina",83.2277849796016,0.991601516540104
"29","South Carolina",113.251580880196,0.87400465436612
"30","Wisconsin",34.6762196016305,0.858747389837309
"31","Colorado",23.1300757666266,0.850881165589115
"32","Virginia",41.8720876844161,0.773239448005447
"33","Tennessee",67.4605742949294,0.746796025405122
"34","Nevada",64.444787861394,0.746715426101795
"35","Michigan",16.9923330232925,0.740973861946757
"36","Washington",33.4344816138585,0.682872366033246
"37","Texas",80.9563261761214,0.67940684402726
"38","South Dakota",44.3108587602681,0.678227430004103
"39","North Dakota",25.7196920985432,0.656114594350591
"40","Utah",97.069269154493,0.499070792568087
"41","Kansas",35.1146495022507,0.446227217526158
"42","Wyoming",22.2890702347609,0.34556698038389
"43","Kentucky",26.7477051252408,0.335745252618086
"44","Oregon",26.6967807618161,0.308222157996101
"45","Oklahoma",49.6339245347009,0.227446701024597
"46","Montana",10.2921280191022,0.187129600347313
"47","Idaho",33.966307884716,0.167873020847031
"48","Vermont",3.52570317745986,0.160259235339084
"49","Maine",13.4651379395512,0.148786054580676
"50","Puerto Rico",24.2039469028655,0.0313117036259579
"51","Hawaii",5.65022826922208,0
"52","Alaska",16.8137298457374,0
"53","West Virginia",12.6105726818168,0
"54","Virgin Islands",NA,NA
"55","Guam",NA,NA
"56","Northern Mariana Islands",NA,NA
